Trame	Address	CowID	Latitude	Longitude	Altitude	CRC_OK
1	0x2b	2709	48512345	2156789	130	True
2	0x2b	2709	48512345	2156789	130	True
3	0x2b	2709	48512345	2156789	130	True
4	0x2b	2709	48512345	2156789	130	True
5	0x2b	2709	48512345	2156789	130	True
6	0x2b	2709	48512345	2156789	130	True
7	0x2b	2709	48512345	2156789	130	True
8	0x2b	2709	48512345	2156789	130	True
9	0x2b	2709	48512345	2156789	130	True
10	0x2b	2709	48512345	2156789	130	True
11	0x2b	2709	48512345	2156789	130	True
12	0x2b	2709	48512345	2156789	130	True
13	0x2b	2709	48512345	2156789	130	True
14	0x2b	2709	48512345	2156789	130	True
15	0x2b	2709	48512345	2156789	130	True
16	0x2b	2709	48512345	2156789	130	True
17	0x2b	2709	48512345	2156789	130	True
18	0x2b	2709	48512345	2156789	130	True
19	0x2b	2709	48512345	2156789	130	True
20	0x2b	2709	48512345	2156789	130	True
21	0x2b	2709	48512345	2156789	130	True
22	0x2b	2709	48512345	2156789	130	True
23	0x2b	2709	48512345	2156789	130	True
24	0x2b	2709	48512345	2156789	130	True
25	0x2b	2709	48512345	2156789	130	True
26	0x2b	2709	48512345	2156789	130	True
27	0x2b	2709	48512345	2156789	130	True
28	0x2b	2709	48512345	2156789	130	True
29	0x2b	2709	48512345	2156789	130	True
30	0x2b	2709	48512345	2156789	130	True
31	0x2b	2709	48512345	2156789	130	True
32	0x2b	2709	48512345	2156789	130	True
33	0x2b	2709	48512345	2156789	130	True
34	0x2b	2709	48512345	2156789	130	True
35	0x2b	2709	48512345	2156789	130	True
36	0x2b	2709	48512345	2156789	130	True
37	0x2b	2709	48512345	2156789	130	True
38	0x2b	2709	48512345	2156789	130	True
39	0x2b	2709	48512345	2156789	130	True
40	0x2b	2709	48512345	2156789	130	True
41	0x2b	2709	48512345	2156789	130	True
42	0x2b	2709	48512345	2156789	130	True
43	0x2b	2709	48512345	2156789	130	True
44	0x2b	2709	48512345	2156789	130	True
45	0x2b	2709	48512345	2156789	130	True
46	0x2b	2709	48512345	2156789	130	True
47	0x2b	2709	48512345	2156789	130	True
48	0x2b	2709	48512345	2156789	130	True
